time,Hesperocyoninae,Borophaginae,Caninae,Amphicyonidae,Nimravidae,Felidae,Barbourofelidae,Ursidae
45,0,0,0,0,0,0,0,0
44.9,0,0,0,0,0,0,0,0
44.8,0,0,0,0,0,0,0,0
44.7,0,0,0,0,0,0,0,0
44.6,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,0,0,0
44.4,0,0,0,0,0,0,0,0
44.3,0,0,0,0,0,0,0,0
44.2,0,0,0,0,0,0,0,0
44.1,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
43.9,0,0,0,0,0,0,0,0
43.8,0,0,0,0,0,0,0,0
43.7,0,0,0,0,0,0,0,0
43.6,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,0
43.4,0,0,0,0,0,0,0,0
43.3,0,0,0,0,0,0,0,0
43.2,0,0,0,0,0,0,0,0
43.1,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
42.9,0,0,0,0,0,0,0,0
42.8,0,0,0,0,0,0,0,0
42.7,0,0,0,0,0,0,0,0
42.6,0,0,0,1,0,0,0,0
42.5,0,0,0,1,0,0,0,0
42.4,0,0,0,1,0,0,0,0
42.3,0,0,0,1,0,0,0,0
42.2,0,0,0,1,0,0,0,0
42.1,0,0,0,1,0,0,0,0
42,0,0,0,1,0,0,0,0
41.9,0,0,0,1,0,0,0,0
41.8,0,0,0,1,0,0,0,0
41.7,0,0,0,1,0,0,0,0
41.6,0,0,0,1,0,0,0,0
41.5,0,0,0,1,0,0,0,0
41.4,0,0,0,1,0,0,0,0
41.3,0,0,0,1,0,0,0,0
41.2,0,0,0,1,0,0,0,0
41.1,0,0,0,1,0,0,0,0
41,0,0,0,1,0,0,0,0
40.9,0,0,0,1,0,0,0,0
40.8,0,0,0,1,0,0,0,0
40.7,0,0,0,1,0,0,0,0
40.6,0,0,0,1,0,0,0,0
40.5,0,0,0,1,0,0,0,0
40.4,0,0,0,1,0,0,0,0
40.3,0,0,0,1,0,0,0,0
40.2,0,0,0,1,0,0,0,0
40.1,0,0,0,1,0,0,0,0
40,1,0,0,1,0,0,0,0
39.9,1,0,0,1,0,0,0,0
39.8,1,0,0,1,0,0,0,0
39.7,2,0,0,1,0,0,0,0
39.6,2,0,0,1,0,0,0,0
39.5,2,0,0,1,0,0,0,0
39.4,2,0,0,1,0,0,0,0
39.3,2,0,0,1,0,0,0,0
39.2,2,0,0,1,0,0,0,0
39.1,2,0,0,1,0,0,0,0
39,2,0,0,1,0,0,0,0
38.9,2,0,0,1,0,0,0,0
38.8,2,0,0,1,0,0,0,0
38.7,2,0,0,1,0,0,0,1
38.6,2,0,0,2,0,0,0,1
38.5,2,0,0,2,1,0,0,1
38.4,2,0,0,3,1,0,0,2
38.3,2,0,0,3,1,0,0,3
38.2,2,0,0,3,1,0,0,3
38.1,3,0,0,3,1,0,0,3
38,3,0,0,3,1,0,0,3
37.9,3,0,0,3,1,0,0,4
37.8,4,0,0,3,1,0,0,4
37.7,4,0,0,3,1,0,0,4
37.6,4,0,0,3,1,0,0,4
37.5,4,1,0,3,1,0,0,4
37.4,4,1,0,3,1,0,0,4
